sequence,visit_day,request_wave,priority,chapter,cluster_title,request_identifier,request_type,source_part,office,visit_goal,why_it_matters,first_onsite_action,onsite_actions,target_terms,capture_folder_title,capture_box_or_container,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_withdrawal_or_redaction_notes,capture_volume_boundary,candidate_disposition,final_source_note,source_note
28,Day 1,Day 1 / 06.08,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 3390,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3390. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
29,Day 1,Day 1 / 06.09,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 3393,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3393. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
30,Day 1,Day 1 / 06.10,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 1854,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 1854. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
31,Day 1,Day 1 / 06.11,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 3381,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3381. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
32,Day 1,Day 1 / 07.01,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 1394,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1394. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
33,Day 1,Day 1 / 07.02,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 1406,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1406. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
34,Day 1,Day 1 / 07.03,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 278,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 278. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
35,Day 1,Day 1 / 07.04,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 644,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 644. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
36,Day 1,Day 1 / 07.05,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 2483,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 2483. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
37,Day 1,Day 1 / 07.06,A,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,OA/ID 3029,OA/ID request,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Pull Soderberg PC/DC notes for North Korea before broader DPRK folders. These are likely the highest-yield internal decision records for the 1993-1994 Agreed Framework sequence.,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",North Korea; DPRK; PC meeting; DC meeting; Agreed Framework,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3029. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
38,Day 1,Day 1 / 08.01,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 255,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 255. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
39,Day 1,Day 1 / 08.02,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 723,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 723. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
40,Day 1,Day 1 / 08.03,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 724,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 724. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
41,Day 1,Day 1 / 08.04,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 727,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 727. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
42,Day 1,Day 1 / 08.05,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 728,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 728. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
43,Day 1,Day 1 / 08.06,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 729,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 729. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
44,Day 1,Day 1 / 08.07,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 1405,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1405. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
45,Day 1,Day 1 / 08.08,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 1417,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1417. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
46,Day 1,Day 1 / 08.09,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 3032,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3032. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
47,Day 1,Day 1 / 08.10,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 3112,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3112. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
48,Day 1,Day 1 / 08.11,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 3495,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3495. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
49,Day 1,Day 1 / 08.12,A,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files",OA/ID 3499,OA/ID request,"Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,"Balance the regional chapter by pulling Iran, Iraq, UNSCOM, WMD, and sanctions files after North Korea.","This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.,"Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.",Iran; Iraq; UNSCOM; WMD; missile sanctions; chemical weapons,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3499. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
50,Day 1,Day 1 / 09.01,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1797,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1797. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
51,Day 1,Day 1 / 09.02,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1808,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1808. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
52,Day 1,Day 1 / 09.03,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1809,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1809. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
53,Day 1,Day 1 / 09.04,A,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",OA/ID 1810,OA/ID request,Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Use the Access Management China technology-transfer folders to build a China nonproliferation lane without getting lost in campaign-finance material.,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",China; technology transfer; ACDA; missile proliferation; satellites; DoD; DoS; CIA,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1810. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
