sequence,run_priority,chapter,query,scope_naid,scope_label,scout_search_url,catalog_search_url,existing_file_unit_leads_in_chapter,high_priority_file_unit_leads_in_chapter,chapter_readiness_band,chapter_readiness_score,top_chapter_risk,target_record_types,why_run_this_query,dedupe_note,harvester_command,capture_result_count,capture_top_naids,capture_item_level_hits,capture_child_item_urls,capture_dates_or_date_spans,capture_source_paths,capture_candidates_promoted,capture_context_only_leads,disposition,compiler_notes
79,Urgent,Counterproliferation,JCS counterproliferation,7585451,Robert Bell's Files,https://therealjameswilson.github.io/nara-scout/?q=JCS%20counterproliferation,https://catalog.archives.gov/search?q=JCS%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
80,Urgent,Counterproliferation,PDD-18,7585451,Robert Bell's Files,https://therealjameswilson.github.io/nara-scout/?q=PDD-18,https://catalog.archives.gov/search?q=PDD-18&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,Presidential decision directive file; DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets PDD-18,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
81,Urgent,Counterproliferation,counterproliferation,7585677,Nonproliferation and Export Controls Subject Files,https://therealjameswilson.github.io/nara-scout/?q=counterproliferation,https://catalog.archives.gov/search?q=counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
82,Urgent,Counterproliferation,Defense Counterproliferation Initiative,7585677,Nonproliferation and Export Controls Subject Files,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,https://catalog.archives.gov/search?q=Defense%20Counterproliferation%20Initiative&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets Defense, Initiative",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
83,Urgent,Counterproliferation,intelligence support counterproliferation,7585677,Nonproliferation and Export Controls Subject Files,https://therealjameswilson.github.io/nara-scout/?q=intelligence%20support%20counterproliferation,https://catalog.archives.gov/search?q=intelligence%20support%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets intelligence, support",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
84,Urgent,Counterproliferation,JCS counterproliferation,7585677,Nonproliferation and Export Controls Subject Files,https://therealjameswilson.github.io/nara-scout/?q=JCS%20counterproliferation,https://catalog.archives.gov/search?q=JCS%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
85,Urgent,Counterproliferation,PDD-18,7585677,Nonproliferation and Export Controls Subject Files,https://therealjameswilson.github.io/nara-scout/?q=PDD-18,https://catalog.archives.gov/search?q=PDD-18&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,Presidential decision directive file; DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets PDD-18,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
86,Urgent,Counterproliferation,counterproliferation,7585685,Daniel Poneman's Files,https://therealjameswilson.github.io/nara-scout/?q=counterproliferation,https://catalog.archives.gov/search?q=counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
87,Urgent,Counterproliferation,Defense Counterproliferation Initiative,7585685,Daniel Poneman's Files,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,https://catalog.archives.gov/search?q=Defense%20Counterproliferation%20Initiative&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets Defense, Initiative",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
88,Urgent,Counterproliferation,intelligence support counterproliferation,7585685,Daniel Poneman's Files,https://therealjameswilson.github.io/nara-scout/?q=intelligence%20support%20counterproliferation,https://catalog.archives.gov/search?q=intelligence%20support%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets intelligence, support",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
89,Urgent,Counterproliferation,JCS counterproliferation,7585685,Daniel Poneman's Files,https://therealjameswilson.github.io/nara-scout/?q=JCS%20counterproliferation,https://catalog.archives.gov/search?q=JCS%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
90,Urgent,Counterproliferation,PDD-18,7585685,Daniel Poneman's Files,https://therealjameswilson.github.io/nara-scout/?q=PDD-18,https://catalog.archives.gov/search?q=PDD-18&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,Presidential decision directive file; DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets PDD-18,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
91,Urgent,Counterproliferation,counterproliferation,7585686,Gary Samore's Files,https://therealjameswilson.github.io/nara-scout/?q=counterproliferation,https://catalog.archives.gov/search?q=counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
92,Urgent,Counterproliferation,Defense Counterproliferation Initiative,7585686,Gary Samore's Files,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,https://catalog.archives.gov/search?q=Defense%20Counterproliferation%20Initiative&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets Defense, Initiative",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
93,Urgent,Counterproliferation,intelligence support counterproliferation,7585686,Gary Samore's Files,https://therealjameswilson.github.io/nara-scout/?q=intelligence%20support%20counterproliferation,https://catalog.archives.gov/search?q=intelligence%20support%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,"chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets intelligence, support",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
94,Urgent,Counterproliferation,JCS counterproliferation,7585686,Gary Samore's Files,https://therealjameswilson.github.io/nara-scout/?q=JCS%20counterproliferation,https://catalog.archives.gov/search?q=JCS%20counterproliferation&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets counterproliferation,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
95,Urgent,Counterproliferation,PDD-18,7585686,Gary Samore's Files,https://therealjameswilson.github.io/nara-scout/?q=PDD-18,https://catalog.archives.gov/search?q=PDD-18&collectionIdentifier=WJC*,11,0,Discovery first,0,High: Separate official counterproliferation records from generic chron-file hits,Presidential decision directive file; DOD/NSC initiative paper; JCS or IC assessment; PDD/NSC file; interagency meeting record,chapter has 11 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Separate official counterproliferation records from generic chron-file hits; query targets PDD-18,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
96,Urgent,Regional Proliferation Cases,Agreed Framework,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=Agreed%20Framework,https://catalog.archives.gov/search?q=Agreed%20Framework&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Agreed, Framework",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
97,Urgent,Regional Proliferation Cases,China missile transfer,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=China%20missile%20transfer,https://catalog.archives.gov/search?q=China%20missile%20transfer&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets China, missile, transfer",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
98,Urgent,Regional Proliferation Cases,DPRK,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=DPRK,https://catalog.archives.gov/search?q=DPRK&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets DPRK,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
99,Urgent,Regional Proliferation Cases,India Pakistan nuclear,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=India%20Pakistan%20nuclear,https://catalog.archives.gov/search?q=India%20Pakistan%20nuclear&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets India, Pakistan, nuclear",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
100,Urgent,Regional Proliferation Cases,Iran proliferation,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=Iran%20proliferation,https://catalog.archives.gov/search?q=Iran%20proliferation&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Iran, proliferation",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
101,Urgent,Regional Proliferation Cases,Iraq WMD,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=Iraq%20WMD,https://catalog.archives.gov/search?q=Iraq%20WMD&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Iraq,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
102,Urgent,Regional Proliferation Cases,Libya proliferation,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=Libya%20proliferation,https://catalog.archives.gov/search?q=Libya%20proliferation&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Libya, proliferation",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
103,Urgent,Regional Proliferation Cases,North Korea nuclear,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20nuclear,https://catalog.archives.gov/search?q=North%20Korea%20nuclear&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets North, Korea, nuclear",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
104,Urgent,Regional Proliferation Cases,Russian arms sales Iran,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=Russian%20arms%20sales%20Iran,https://catalog.archives.gov/search?q=Russian%20arms%20sales%20Iran&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Russian, arms, sales, Iran",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
105,Urgent,Regional Proliferation Cases,South Asia nuclear,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=South%20Asia%20nuclear,https://catalog.archives.gov/search?q=South%20Asia%20nuclear&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets South, Asia, nuclear",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
106,Urgent,Regional Proliferation Cases,UNSCOM,7388773,NSC Nonproliferation and Export Controls Office,https://therealjameswilson.github.io/nara-scout/?q=UNSCOM,https://catalog.archives.gov/search?q=UNSCOM&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets UNSCOM,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
107,Urgent,Regional Proliferation Cases,Agreed Framework,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=Agreed%20Framework,https://catalog.archives.gov/search?q=Agreed%20Framework&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Agreed, Framework",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
108,Urgent,Regional Proliferation Cases,China missile transfer,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=China%20missile%20transfer,https://catalog.archives.gov/search?q=China%20missile%20transfer&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets China, missile, transfer",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
109,Urgent,Regional Proliferation Cases,DPRK,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=DPRK,https://catalog.archives.gov/search?q=DPRK&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets DPRK,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
110,Urgent,Regional Proliferation Cases,India Pakistan nuclear,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=India%20Pakistan%20nuclear,https://catalog.archives.gov/search?q=India%20Pakistan%20nuclear&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets India, Pakistan, nuclear",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
111,Urgent,Regional Proliferation Cases,Iran proliferation,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=Iran%20proliferation,https://catalog.archives.gov/search?q=Iran%20proliferation&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Iran, proliferation",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
112,Urgent,Regional Proliferation Cases,Iraq WMD,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=Iraq%20WMD,https://catalog.archives.gov/search?q=Iraq%20WMD&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Iraq,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
113,Urgent,Regional Proliferation Cases,Libya proliferation,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=Libya%20proliferation,https://catalog.archives.gov/search?q=Libya%20proliferation&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Libya, proliferation",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
114,Urgent,Regional Proliferation Cases,North Korea nuclear,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20nuclear,https://catalog.archives.gov/search?q=North%20Korea%20nuclear&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets North, Korea, nuclear",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
115,Urgent,Regional Proliferation Cases,Russian arms sales Iran,7388808,NSC Records Management Office,https://therealjameswilson.github.io/nara-scout/?q=Russian%20arms%20sales%20Iran,https://catalog.archives.gov/search?q=Russian%20arms%20sales%20Iran&collectionIdentifier=WJC*,13,13,Item-boundary work first,35,High: Balance the regional chapter beyond North Korea,PC/DC minutes; regional NSC policy file; State cable; telcon or memcon,"chapter has 13 unresolved file-unit leads; scorecard band is Item-boundary work first; top chapter risk: Balance the regional chapter beyond North Korea; query targets Russian, arms, sales, Iran",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
