sequence,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,category,compiler_risk,source_note,source_url,digital_object_url,scout_search_url,matched_queries,topics,summary
38,,Nonproliferation Regimes,High,"[Anthony] Lake - Non-Proliferation Speech, [1/30/95]",NARA Scout candidate,National Archives Catalog,,NAID 40478352,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 40478352. File-unit title: ""[Anthony] Lake - Non-Proliferation Speech, [1/30/95]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478352,,https://therealjameswilson.github.io/nara-scout/?q=%5BAnthony%5D%20Lake%20-%20Non-Proliferation%20Speech%2C%20%5B1%2F30%2F95%5D,Cached NARA Scout result: Nonproliferation Regimes,Nonproliferation Regimes,NARA Scout candidate file unit identified for the Nonproliferation Regimes chapter.
39,,Nonproliferation Regimes,High,Non-Proliferation Treaty/Budapest,NARA Scout candidate,National Archives Catalog,,NAID 147873401,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 147873401. File-unit title: ""Non-Proliferation Treaty/Budapest"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/147873401,,https://therealjameswilson.github.io/nara-scout/?q=Non-Proliferation%20Treaty%2FBudapest,Cached NARA Scout result: Nonproliferation Regimes,Nonproliferation Regimes,NARA Scout candidate file unit identified for the Nonproliferation Regimes chapter.
40,,Nonproliferation Regimes,Medium,Nonproliferation,NARA Scout candidate,National Archives Catalog,,NAID 40477999,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 40477999. File-unit title: ""Nonproliferation"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40477999,,https://therealjameswilson.github.io/nara-scout/?q=Nonproliferation,Cached NARA Scout result: Nonproliferation Regimes,Nonproliferation Regimes,NARA Scout candidate file unit identified for the Nonproliferation Regimes chapter.
41,,Nonproliferation Regimes,Medium,Nonproliferation - Talking Points,NARA Scout candidate,National Archives Catalog,,NAID 40478316,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 40478316. File-unit title: ""Nonproliferation - Talking Points"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478316,,https://therealjameswilson.github.io/nara-scout/?q=Nonproliferation%20-%20Talking%20Points,Cached NARA Scout result: Nonproliferation Regimes,Nonproliferation Regimes,NARA Scout candidate file unit identified for the Nonproliferation Regimes chapter.
42,,Nonproliferation Regimes,Medium,Nuclear Smuggling,NARA Scout candidate,National Archives Catalog,,NAID 40478003,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 40478003. File-unit title: ""Nuclear Smuggling"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478003,,https://therealjameswilson.github.io/nara-scout/?q=Nuclear%20Smuggling,Cached NARA Scout result: Nonproliferation Regimes,Nonproliferation Regimes,NARA Scout candidate file unit identified for the Nonproliferation Regimes chapter.
43,1993-09-27,Counterproliferation,High,Fact Sheet on Nonproliferation and Export Control Policy,Archived White House,Archived White House,Clinton administration public record,1993-09-27 White House fact sheet,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1993-09-27 White House fact sheet. Title: ""Fact Sheet on Nonproliferation and Export Control Policy"". Published primary source.",https://www.rertr.anl.gov/REFDOCS/PRES93NP.html,,,Local public milestone page,defense planning; WMD; missiles; counterproliferation,"Primary-source White House fact sheet directing greater attention to proliferation in intelligence collection, defense planning, force structure, and military planning against WMD and missile threats."
44,1993-12-07,Counterproliferation,High,PDD/NSC-18 Defense Counterproliferation Initiative,Department of Defense text,Department of Defense text,Clinton administration public record,PDD/NSC-18,published primary source,,public statement,,"Source: Department of Defense text, Clinton administration public record, PDD/NSC-18. Title: ""PDD/NSC-18 Defense Counterproliferation Initiative"". Published primary source.",https://irp.fas.org/offdocs/pdd18.htm,,,Local public milestone page,PDD/NSC-18; Les Aspin; theater missile defense; biological defense,"Secretary Les Aspin's launch of the Defense Counterproliferation Initiative under PDD/NSC-18, covering military planning, theater missile defense, biological defense, and intelligence support."
45,1993-12-15,Counterproliferation,High,Remarks on the Resignation of Les Aspin as Secretary of Defense,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1993-book2-doc-pg2177,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1993, Book II, p. 2177, ""Remarks on the Resignation of Les Aspin as Secretary of Defense""; GovInfo. Published primary source.",https://www.govinfo.gov/app/details/PPP-1993-book2/PPP-1993-book2-doc-pg2177,https://www.govinfo.gov/content/pkg/PPP-1993-book2/pdf/PPP-1993-book2-doc-pg2177.pdf,,Local public milestone page,Clinton statement; Les Aspin; counterproliferation,Clinton public statement crediting Secretary Aspin's leadership and explicitly noting his new counterproliferation initiative.
46,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,,public statement,,"Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",https://www.osti.gov/biblio/377259,,,Local public milestone page,program review; NBC terrorism; DOD; counterproliferation,"FY1994 defense authorization report surveying existing, planned, and proposed U.S. capabilities and technologies for countering proliferation and NBC terrorism."
47,1994-05-01,Counterproliferation,High,Nonproliferation and counterproliferation activities and programs,DOD technical report,OSTI,Office of the Deputy Secretary of Defense,OSTI ID 377259,published primary source,High,interagency program report,"Already listed; promoted here as an explicit bridge to State, Energy, IC, JCS, and ACDA source gaps.","Source: OSTI, Office of the Deputy Secretary of Defense, OSTI ID 377259. Title: ""Nonproliferation and counterproliferation activities and programs"". Published primary source.",https://www.osti.gov/biblio/377259,,,DOD; State; Energy; IC; JCS; ACDA,counterproliferation; interagency; DOD,"The FY1994 NDAA-required interagency report identifies State, Defense, Energy, the Intelligence Community, JCS, and ACDA as counterproliferation source pools to pursue."
48,1995-10-27,Counterproliferation,Medium,Counterproliferation: A National Security Priority,DOD speech text,OSTI,Office of the Under Secretary of Defense (Acquisition),OSTI ID 612135,published primary source,,public statement,,"Source: OSTI, Office of the Under Secretary of Defense (Acquisition), OSTI ID 612135. Title: ""Counterproliferation: A National Security Priority"". Published primary source.",https://www.osti.gov/biblio/612135,,,Local public milestone page,Paul Kaminski; National Security Strategy; WMD; missiles,Paul Kaminski speech text linking Clinton's 1995 national security strategy to effective capabilities against WMD and missile-delivery threats.
49,1996-02-22,Counterproliferation,Medium,Worldwide Threat Assessment and proliferation threat record,Intelligence-community source lead,CIA / congressional testimony trail,DCI threat assessment source path,DCI Deutch threat-assessment lead,source-path lead,Review,intelligence source path,"Non-official mirror used as locator; replace with official CIA, SSCI, or GovInfo text before final use.","Source: CIA / congressional testimony trail, DCI threat assessment source path, DCI Deutch threat-assessment lead. Title: ""Worldwide Threat Assessment and proliferation threat record"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://irp.fas.org/threat/wmd.htm,,,DCI; proliferation; WMD; 1996,intelligence; WMD; counterproliferation,"Locator for the intelligence-assessment side of counterproliferation; this remains a source gap until an official CIA, SSCI, or GovInfo copy is located."
50,,Counterproliferation,Medium,Chron File - April 1994 No. 2 [3],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245993,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245993. File-unit title: ""Chron File - April 1994 No. 2 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245993,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Strategic Arms and Nuclear Security: transparency irreversibility nuclear weapons; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
51,,Counterproliferation,Medium,Chron File - August 1994 No. 3 [3],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246119,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246119. File-unit title: ""Chron File - August 1994 No. 3 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246119,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: counter-proliferation,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
52,,Counterproliferation,Review,Chron File - August 1994 No. 3 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246123,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246123. File-unit title: ""Chron File - August 1994 No. 3 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246123,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative; Counterproliferation: theater missile defense proliferation,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
53,,Counterproliferation,Review,Chron File - December 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246221,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246221. File-unit title: ""Chron File - December 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246221,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
54,,Counterproliferation,Review,Chron File - February 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245915,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245915. File-unit title: ""Chron File - February 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245915,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: Defense Counterproliferation Initiative; Counterproliferation: NBC terrorism,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
55,,Counterproliferation,Review,Chron File - July 1993 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245690,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245690. File-unit title: ""Chron File - July 1993 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245690,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
56,,Counterproliferation,Review,Chron File - June 1993 No. 1 [1],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245640,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245640. File-unit title: ""Chron File - June 1993 No. 1 [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245640,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: Defense Counterproliferation Initiative; Counterproliferation: weapons of mass destruction military planning,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
57,,Counterproliferation,Review,Chron File - May 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246013,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246013. File-unit title: ""Chron File - May 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246013,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
58,,Counterproliferation,Review,Chron File - May 1994 No. 1 [7],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246017,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246017. File-unit title: ""Chron File - May 1994 No. 1 [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246017,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
59,,Counterproliferation,Review,Chron File - November 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246193,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246193. File-unit title: ""Chron File - November 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246193,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
60,,Counterproliferation,Review,Chron File - October 1994 No. 1 [1],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246167,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246167. File-unit title: ""Chron File - October 1994 No. 1 [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246167,,https://therealjameswilson.github.io/nara-scout/?q=Defense%20Counterproliferation%20Initiative,Counterproliferation: counterproliferation; Counterproliferation: Defense Counterproliferation Initiative,Counterproliferation,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
61,1994,Regional Proliferation Cases,High,Declassified documents on North Korea,Clinton Digital Library MDR,Clinton Digital Library,Daniel Poneman files,2013-0865-M,packet lead,High,declassified document packet,Direct DPRK packet; item-level review needed.,"Source: Clinton Digital Library, Daniel Poneman files, 2013-0865-M. Packet title: ""Declassified documents on North Korea"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/47978,,,North Korea; proposed nuclear agreement; DOD memo,North Korea; DOD; Agreed Framework,MDR packet from Daniel Poneman files including a Department of Defense memo regarding a proposed nuclear agreement in 1994.
62,1994,Regional Proliferation Cases,High,"North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994",Clinton Digital Library folder,Clinton Digital Library,Steven Aoki files,2009-0528-F Segment 2,fileUnit,Medium,folder lead,Folder-level lead; needs item-level page screening.,"Source: Clinton Digital Library, Steven Aoki files, 2009-0528-F Segment 2. File-unit title: ""North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/72779,,,DPRK negotiations; 1994; Aoki,North Korea; DPRK; Aoki,Folder lead from Steven Aoki's NSC Nonproliferation and Export Controls files for 1994 DPRK negotiations.
63,1994-05-20,Regional Proliferation Cases,High,Declassified Documents concerning North Korea,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management Office,2013-0870-M,packet lead,High,declassified document packet,Direct PC packet; verify released pages and title boundaries before final selection.,"Source: Clinton Digital Library, NSC Records Management Office, 2013-0870-M. Packet title: ""Declassified Documents concerning North Korea"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/36633,,,North Korea; Principals Committee; May 20 1994,North Korea; PC; Anthony Lake,"MDR packet containing a Principals Committee summary of conclusions and background memo to Anthony Lake for a May 20, 1994 North Korea meeting."
64,1994-10-18,Regional Proliferation Cases,High,Remarks on the Nuclear Agreement With North Korea,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1994-book2-doc-pg1794,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1994-book2/PPP-1994-book2-doc-pg1794,https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1794.pdf,,Local Public Papers audit,Regional Proliferation Cases; pp. 1794-1795; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo."
65,1995-1996,Regional Proliferation Cases,High,Declassified Documents Concerning Iran,Clinton Digital Library MDR,Clinton Digital Library,NSC Near East and South Asian Affairs / Nonproliferation offices,2015-0641-M,packet lead,Medium,declassified document packet,Regional-balancing lead; identify the exact proliferation-policy items before selection.,"Source: Clinton Digital Library, NSC Near East and South Asian Affairs / Nonproliferation offices, 2015-0641-M. Packet title: ""Declassified Documents Concerning Iran"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/57243,,,Iran; Russian arms sales; Gary Samore; Daniel Poneman,Iran; Russia arms sales; regional proliferation,"MDR packet with material on Iran, including a report on the impact of Russian arms sales to Iran."
66,1996,Regional Proliferation Cases,Medium,Declassified documents concerning China,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2016-0557-M,source-path lead,Review,MDR source path,MDR-list locator only; locate the item page and determine whether missile/nuclear transfer issues are present.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2016-0557-M. Title: ""Declassified documents concerning China"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://clinton.presidentiallibraries.us/items/show/118879,,,China; missile; nonproliferation,China; missiles; regional proliferation,China source path added to keep the regional chapter from becoming North Korea-only; this item is policy-context material and should be replaced if stronger missile-transfer records are located.
67,1997-04-14,Regional Proliferation Cases,Medium,Declassified documents concerning South Asia,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2006-0859-M,source-path lead,Review,Volume VIII handoff / MDR source path,April 1997 Deputies Committee packet is outside the Volume VII date range; use as handoff context and a locator for earlier India/Pakistan nuclear files.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2006-0859-M. Title: ""Declassified documents concerning South Asia"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://clinton.presidentiallibraries.us/items/show/100535,,,South Asia; India; Pakistan; nuclear,South Asia; India; Pakistan,"Deputies Committee packet with agendas, discussion paper, and summary of conclusions on the framework of U.S. policy toward South Asia; use as a handoff locator for earlier India/Pakistan nuclear coverage."
68,,Regional Proliferation Cases,High,"Aoki Notes [G-7, North Korea] [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219771,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219771. File-unit title: ""Aoki Notes [G-7, North Korea] [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219771,,https://therealjameswilson.github.io/nara-scout/?q=Aoki%20Notes%20%5BG-7%2C%20North%20Korea%5D%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
69,,Regional Proliferation Cases,High,North Korea - Framework [1],NARA Scout candidate,National Archives Catalog,,NAID 42219814,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219814. File-unit title: ""North Korea - Framework [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219814,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B1%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
70,,Regional Proliferation Cases,High,North Korea - Framework [10],NARA Scout candidate,National Archives Catalog,,NAID 42219823,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219823. File-unit title: ""North Korea - Framework [10]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219823,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B10%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
71,,Regional Proliferation Cases,High,North Korea - Framework [11],NARA Scout candidate,National Archives Catalog,,NAID 42219824,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219824. File-unit title: ""North Korea - Framework [11]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219824,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B11%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
72,,Regional Proliferation Cases,High,North Korea - Framework [2],NARA Scout candidate,National Archives Catalog,,NAID 42219815,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219815. File-unit title: ""North Korea - Framework [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219815,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
73,,Regional Proliferation Cases,High,North Korea - Framework [3],NARA Scout candidate,National Archives Catalog,,NAID 42219816,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219816. File-unit title: ""North Korea - Framework [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219816,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B3%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
74,,Regional Proliferation Cases,High,North Korea - Framework [5],NARA Scout candidate,National Archives Catalog,,NAID 42219818,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219818. File-unit title: ""North Korea - Framework [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219818,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B5%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
75,,Regional Proliferation Cases,High,North Korea - Framework [7],NARA Scout candidate,National Archives Catalog,,NAID 42219820,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219820. File-unit title: ""North Korea - Framework [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219820,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B7%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
76,,Regional Proliferation Cases,High,North Korea - Framework [9],NARA Scout candidate,National Archives Catalog,,NAID 42219822,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219822. File-unit title: ""North Korea - Framework [9]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219822,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B9%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
77,,Regional Proliferation Cases,High,"North Korea - Principals’ and Deputies’ Meetings, 1994 [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219832,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219832. File-unit title: ""North Korea - Principals’ and Deputies’ Meetings, 1994 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219832,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Principals%E2%80%99%20and%20Deputies%E2%80%99%20Meetings%2C%201994%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
78,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [3]",NARA Scout candidate,National Archives Catalog,,NAID 42219838,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219838. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219838,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20US%20Internal%20Decision-Making%2C%201994%20%5B3%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
79,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [4]",NARA Scout candidate,National Archives Catalog,,NAID 42219839,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219839. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [4]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219839,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20US%20Internal%20Decision-Making%2C%201994%20%5B4%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
80,1993-11-23,Chemical and Biological Weapons,High,"Chemical Weapons Convention, Treaty Document 103-21",Congressional treaty document,Congress.gov,Senate Treaty Documents,Treaty Doc. 103-21,published primary source metadata,High,ratification record,"Congress.gov does not provide pre-1995 full treaty text, but the treaty-document metadata and Senate action trail are authoritative.","Source: Congress.gov, Senate Treaty Documents, Treaty Doc. 103-21. Title: ""Chemical Weapons Convention, Treaty Document 103-21"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/treaty-document/103rd-congress/21/document-text,,,CWC; Treaty Doc. 103-21; ratification,CWC; Senate; ratification,"Formal Senate treaty-document trail for the CWC, needed to anchor the 1993 submission and 1996 ratification debate record."
